City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,nepomuceno,-21.2358,-45.2358,294.75,88,62,2.8,BR,1676839190
324,almeirim,-1.5233,-52.5817,297.76,89,98,1.62,BR,1676839191
325,adrar,20.5022,-10.0711,299.18,12,73,4.86,MR,1676839191
326,lorengau,-2.0226,147.2712,300.15,79,90,0.91,PG,1676839192
327,tuatapere,-46.1333,167.6833,290.88,71,45,0.63,NZ,1676839192
328,margate,51.3813,1.3862,280.86,78,100,1.34,GB,1676839193
329,vila velha,-20.3297,-40.2925,302.12,80,20,5.14,BR,1676839194
330,hamilton,39.1834,-84.5333,288.68,34,20,5.14,US,1676839103
331,phalombe,-15.8064,35.6507,293.95,94,82,0.63,MW,1676839195
332,husavik,66.0449,-17.3389,274.05,99,100,8.93,IS,1676839195
333,kingman,35.1894,-114.053,291.55,24,0,1.79,US,1676839148
334,rajanpur,29.1035,70.325,294.66,23,66,2.88,PK,1676839196
335,korla,41.7597,86.1469,273.21,76,73,1.36,CN,1676839197
336,keti bandar,24.1447,67.4497,295.29,84,17,4.74,PK,1676839197
337,beloha,-25.1667,45.05,298.2,79,2,1.43,MG,1676839198
338,gualaca,8.5333,-82.3,306.52,35,97,5.93,PA,1676839198
339,kokopo,-4.352,152.2633,298.37,84,100,1.5,PG,1676839199
340,bowen,-20.0167,148.2333,298.93,76,100,6.95,AU,1676839200
341,saint-augustin,51.226,-58.6502,262.04,80,81,2.57,CA,1676839201
342,araouane,18.9048,-3.5265,296.65,10,9,4.57,ML,1676839202
343,fukue,32.6881,128.8419,282.75,54,20,8.86,JP,1676839202
344,touros,-5.1989,-35.4608,300.1,72,44,5.43,BR,1676839115
345,teknaf,20.8624,92.3058,291.78,87,0,2.03,BD,1676839204
346,nanakuli,21.3906,-158.1547,300.12,59,0,2.06,US,1676839205
347,acobamba,-11.3525,-75.6594,285.47,95,100,2.51,PE,1676839206
348,great yarmouth,52.6083,1.7305,282.82,87,79,6.57,GB,1676839207
349,balod,20.73,81.2047,291.61,34,0,1.24,IN,1676839173
350,sisimiut,66.9395,-53.6735,257.51,91,100,3.3,GL,1676839208
